0,Type of Business (Exhibitor/Vendor),Please list the specialty crop(s) that you produce or are contained in your product(s).,Please list the products that you will be promoting at the trade show.,Product Category,Do you use any special production practices?,Special Production Practices,Please specify other production practices.,Peak Season,Max volume capable of adding in a season,The volume you are capable of selling to new wholesale accounts: SPRING,The volume you are capable of selling to new wholesale accounts: SUMMER,The volume you are capable of selling to new wholesale accounts: FALL,The volume you are capable of selling to new wholesale accounts: WINTER
1,Non-Massachusetts Specialty Crop Farm,"Lavender,Herbs,Honey","Lavender,Catnip,Honey Gift Kits, LavenderGift Kits, Beeswax wraps, Catnip  bundles, Wrapped Herbal Smudgesticks, Herbal Farm Teas",Value-Added Products,"Focus on heirloom varieties or heritage breeds,Other",Multiple Special Practices,"No pesticides, sustainable production practices, local coastal sourcing",All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
2,Specialty Crop Value-Added Producer (50% or more specialty crop),Shrubs or drinking vinegar,Shrubs,Plants,Not Applicable,Not Applicable,,All,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets
3,Massachusetts Specialty Crop Farm,Microgreens and Wheatgrqass,Microgreens,Produce,"Organic Certification,GAP Certification",Multiple Special Practices,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
4,Specialty Crop Value-Added Producer (50% or more specialty crop),"cabbage, beet, carrot, pepper, cauliflower, cucumber, garlic, tomato, tomatillo, leek, dill, turmeric, ginger, cilantro","Organic Dill Pickles, Organic Sauerkraut, Organic Kimchi, Organic Red Cabbage, Organic Ginger Carrots, Organic Tomatillo Hot Sauce, Organic Garlic Dills, Organic Beets, Organic Garlic Kraut, Organic Beet Kvass, Organic Turmeric Kraut, Organic Spicy Dills, Organic Red Pepper Hot Sauce, small batch flavors!",Produce and Value-Added Products,Organic Certification,Organic Certification,,All,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets
5,Massachusetts Specialty Crop Farm,"mushrooms, assorted species","fresh and dried mushrooms, mushroom tea, coffee, cacao, salts, grinders, makeup, cosmetics, soaps, candles",Produce and Value-Added Products,Not Applicable,Not Applicable,,All,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets
6,Massachusetts Specialty Crop Farm,"Representing Massachusetts grown specialty mushrooms through a crop block grant received for 2019. Not producing any products myself but will be promoting and giving out information material on MAss grown specialty mushrooms, where to find them, how to use them, producers in the area...","Massachusetts grown specialty products,,mushroom grow kits",Other,Organic Certification,Organic Certification,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
7,Specialty Crop Value-Added Producer (50% or more specialty crop),Teas and other,7 kind all natural teas and pickled ginger.,Value-Added Products,Other,Other,all natural,"Summer, Winter, Fall",1-3 pallets,Less than a pallet,1-3 pallets,1-3 pallets,1-3 pallets
8,Massachusetts Specialty Crop Farm,Organic Produce of many varieties.  We can provide a detailed list if needed.,Organic produce that is grown in soil here in MA!,Produce,"Organic Certification,GAP Certification,Focus on heirloom varieties or heritage breeds,Other",Multiple Special Practices,We grow our crops in soil!,Fall,More than 20 pallets,1-3 pallets,10-20 pallets,More than 20 pallets,10-20 pallets
9,Specialty Crop Value-Added Producer (50% or more specialty crop),"Cabbage, carrots, table beets, citrus, parsley, garlic, ginger, turnip, rutabaga, horseradish, cumin, onion, turmeric. ","Mild & spicy kimchi,Zesty Ruby Red ,Mama's Kraut ,Silly Dilly Carrot ,Just Kraut",Value-Added Products,Organic Certification,Organic Certification,,"Summer, Winter, Fall",3-5 pallets,1-3 pallets,3-5 pallets,3-5 pallets,3-5 pallets
10,Specialty Crop Value-Added Producer (50% or more specialty crop),"sauerkraut made with cabbage, beets, leek, radish, peppers, onions ","Caraway & Cabbage Sauerkraut,Beet-Kraut,Chipotle-Kraut,Kraut-Chi",Value-Added Products,Organic Certification,Organic Certification,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
